Date,Motilal_Oswal_Flexi_Cap_Fund_Direct_Growth_NAV,Union_Flexi_Cap_Fund_Direct_Growth_NAV,Polycab,Trent,Kalyan Jewellers India,JIO Financial Services,Coforge,Persistent Systems,Mahindra & Mahindra,Zomato,AIRTELPP,Cholamandalam Invest,Tube Investments of India,Bharti Airtel,Larsen & Toubro,ICICI Bank,BSE,Max Healthcare Institute,Tata Elxsi,Electrosteel Castings
2016-03-28,16.29,13.55,,155.38,,,488.15,375.33,621.92,,,139.17,,321.18,804.23,204.95,,,946.48,18.55
2016-03-23,16.48,13.52,,156.28,,,505.25,369.59,624.67,,,137.45,,328.89,828.37,212.91,,,967,19.1
2016-03-22,16.42,13.48,,158.22,,,491.9,362.76,626.58,,,137.11,,322.19,824.87,212.36,,,972.42,19.35
2016-03-21,16.36,13.28,,153.68,,,491.3,357.32,613.98,,,136.67,,324.71,818.77,213.5,,,975.12,18.7
2016-03-18,16.2,13.07,,150.97,,,490.8,369.52,611.27,,,134.02,,316.13,799.53,209.27,,,959.12,18.7
2016-03-17,16.08,12.72,,145.94,,,472,335.37,599.23,,,135.81,,312.87,795.5,207.05,,,956.08,18.15
2016-03-16,16.11,12.78,,144.87,,,482.6,326.41,606.05,,,130.58,,310.8,788.8,205.82,,,958.73,18.15
2016-03-15,16.14,12.74,,141.53,,,468.55,330.5,602.52,,,133.4,,314.84,787.17,201.23,,,968.38,18.15
2016-03-14,16.23,12.88,,143.6,,,470.6,305.46,606.02,,,133.73,,312.87,789.47,201.5,,,977.12,18.55
2016-03-11,16.26,13.06,,143.85,,,462.35,299.22,610.25,,,134.06,,309.66,790.43,194.41,,,975.6,18.35
2016-03-10,16.17,13.28,,144.78,,,466.35,299.07,613.17,,,137.99,,308.78,790.77,195.91,,,982.1,18.35
2016-03-09,16.25,13.23,,144.37,,,454.7,299.04,617.77,,,133.66,,307.22,808.57,196.68,,,980.38,18.5
2016-03-08,16.26,13.18,,145.16,,,466.4,301.56,609.7,,,132.74,,304.38,791.63,197.14,,,937.38,18.4
2016-03-04,16.25,13.02,,150.91,,,479.95,303.86,608.17,,,132.92,,302.31,795.47,200.45,,,937.42,18.7
2016-03-03,16.12,12.95,,154.12,,,494.25,302.24,607.67,,,133.18,,306.12,804.73,198.18,,,919.95,19.2
2016-03-02,16.07,13.19,,146.37,,,463.8,300.42,599.58,,,130.95,,299.65,758.6,200,,,908.5,18.5
2016-03-01,15.78,12.81,,150.01,,,464.65,304.71,634.05,,,129.52,,294.46,749.3,186.32,,,896.38,17.95
2016-02-29,15.38,12.84,,143.03,,,419.55,307.25,614.05,,,128.84,,289.69,717.33,172.77,,,847.12,17.25
2016-02-26,15.37,13.28,,144,,,425.4,303.21,615.02,,,127.24,,291.94,740.43,168,,,841.17,17
2016-02-25,15.19,13.51,,144.87,,,444.85,309.42,614.52,,,126.25,,296.16,724.3,166.36,,,885.23,17.1
2016-02-24,15.37,13.7,,145.32,,,462.9,312.84,609.3,,,128.5,,297.44,741.93,170,,,892.38,16.95
2016-02-23,15.46,13.76,,146.82,,,453.8,314.16,604.35,,,127.23,,295.01,753.43,174.55,,,942.02,17.25
2016-02-22,15.59,13.57,,142.69,,,466.9,321.3,618.52,,,132.74,,302.17,766.5,180.41,,,956.62,17.9
2016-02-19,15.56,13.52,,144.53,,,468.05,327.68,615.12,,,132.01,,299.37,767,180.73,,,947.58,17.7
2016-02-18,15.63,13.76,,142.99,,,478.95,324.94,606.8,,,129.1,,294.92,766.43,178.32,,,960.62,17.6
2016-02-17,15.49,13.88,,141.71,,,496.5,322.29,600.2,,,132.76,,293.4,748.3,173.41,,,953.2,17.45
2016-02-16,15.38,13.9,,140.24,,,497.3,318.7,603.02,,,134.85,,289.5,736,178.73,,,934.33,18.1
2016-02-15,15.57,13.65,,145.16,,,499.45,305.43,613.4,,,139.27,,292.81,766.27,185,,,956.25,19.15
2016-02-12,15.2,13.73,,142.1,,,490.9,306.68,582.62,,,139.56,,297.99,702.43,175.95,,,892.33,17.6
2016-02-11,15.14,13.7,,142.65,,,485.25,292.31,563.3,,,135.45,,283.44,728.27,181.14,,,930.55,18.2
